Formation,Well Name,Depth,GR,ILD_log10,DeltaPHI,PHIND,PE,NM_M,RELPOS,Facies
A1 SH,NOLAN,2853.5,106.813,0.533,9.339,15.222,3.5,1,1,2
A1 SH,NOLAN,2854,100.938,0.542,8.857,15.313,3.416,1,0.977,3
A1 SH,NOLAN,2854.5,94.375,0.553,7.097,14.583,3.195,1,0.955,3
A1 SH,NOLAN,2855,89.813,0.554,7.081,14.11,2.963,1,0.932,3
A1 SH,NOLAN,2855.5,91.563,0.56,6.733,13.189,2.979,1,0.909,3
A1 SH,NOLAN,2856,87.188,0.567,6.578,12.806,3.16,1,0.886,3
A1 SH,NOLAN,2856.5,84.188,0.569,5.569,12.253,3.223,1,0.864,3
A1 SH,NOLAN,2857,84.625,0.567,4.861,12.229,3.361,1,0.841,3
A1 SH,NOLAN,2857.5,90.313,0.581,5.634,13.458,3.395,1,0.818,3
A1 SH,NOLAN,2858,91.563,0.578,6.443,17.922,3.076,1,0.795,3
A1 SH,NOLAN,2858.5,85.625,0.56,6.897,19.177,3.135,1,0.773,3
A1 SH,NOLAN,2859,74.188,0.533,4.634,17.827,3.002,1,0.75,3
A1 SH,NOLAN,2859.5,65.875,0.499,3.571,13.226,3.16,1,0.727,3
A1 SH,NOLAN,2860,63.625,0.467,2.563,13.013,2.773,1,0.705,3
A1 SH,NOLAN,2860.5,65.375,0.46,3.922,13.46,2.541,1,0.682,3
A1 SH,NOLAN,2861,65.813,0.453,3.145,14.97,2.512,1,0.659,2
A1 SH,NOLAN,2861.5,64.5,0.441,3.31,15.245,2.666,1,0.636,2
A1 SH,NOLAN,2862,65.313,0.426,2.439,14.602,2.807,1,0.614,2
A1 SH,NOLAN,2862.5,67.063,0.415,2.877,14.017,2.941,1,0.591,2
A1 SH,NOLAN,2863,70.25,0.401,2.333,13.585,2.981,1,0.568,2
A1 SH,NOLAN,2863.5,72.125,0.383,1.926,13.406,3.078,1,0.545,2
A1 SH,NOLAN,2864,79.563,0.357,2.152,14.205,3.17,1,0.523,2
A1 SH,NOLAN,2864.5,80.563,0.332,3.078,16.844,3.107,1,0.5,2
A1 SH,NOLAN,2865,75.813,0.31,5.733,18.242,3.012,1,0.477,2
A1 SH,NOLAN,2865.5,65.625,0.295,6.937,19.674,3.014,1,0.455,2
A1 SH,NOLAN,2866,57.25,0.293,7.76,19.584,2.971,1,0.432,2
A1 SH,NOLAN,2866.5,59.625,0.292,6.294,19.487,2.947,1,0.409,2
A1 SH,NOLAN,2867,62,0.293,5.391,18.584,2.787,1,0.386,2
A1 SH,NOLAN,2867.5,68.438,0.307,4.007,17.428,2.807,1,0.364,2
A1 SH,NOLAN,2868,71.063,0.333,3.218,16.411,2.838,1,0.341,2
A1 SH,NOLAN,2868.5,71.188,0.371,2.909,14.962,2.844,1,0.318,2
A1 SH,NOLAN,2869,70.938,0.419,2.838,13.177,2.76,1,0.295,2
A1 SH,NOLAN,2869.5,66.813,0.463,2.855,12.282,2.58,1,0.273,2
A1 SH,NOLAN,2870,69.875,0.493,2.702,11.556,2.703,1,0.25,2
A1 SH,NOLAN,2870.5,73.188,0.5,3.026,11.769,2.795,1,0.227,2
A1 SH,NOLAN,2871,81,0.486,3.352,12.322,2.938,1,0.205,2
A1 SH,NOLAN,2871.5,82.188,0.457,3.945,13.144,2.691,1,0.182,2
A1 SH,NOLAN,2872,82.063,0.421,5.444,15.21,2.654,1,0.159,2
A1 SH,NOLAN,2872.5,77.375,0.38,6.592,16.358,2.75,1,0.136,2
A1 SH,NOLAN,2873,74.75,0.341,6.672,16.326,2.891,1,0.114,3
A1 SH,NOLAN,2873.5,73.688,0.31,6.614,17.409,2.922,1,0.091,5
A1 SH,NOLAN,2874,76.25,0.295,7.123,19.977,2.981,1,0.068,5
A1 SH,NOLAN,2874.5,73.938,0.301,10.693,21.143,3.065,1,0.045,2
A1 SH,NOLAN,2875,75.5,0.323,8.346,20.17,3.133,1,0.023,3
A1 LM,NOLAN,2875.5,77.938,0.35,5.703,16.27,3.32,2,1,5
A1 LM,NOLAN,2876,85.75,0.384,1.07,13.579,3.662,2,0.983,5
A1 LM,NOLAN,2876.5,81.875,0.438,0.969,9.822,4.394,2,0.966,5
A1 LM,NOLAN,2877,75.125,0.518,1.062,7.629,4.562,2,0.948,8
A1 LM,NOLAN,2877.5,73.375,0.614,0.67,6.898,4.894,2,0.931,8
A1 LM,NOLAN,2878,79.938,0.696,0.442,6.442,5.121,2,0.914,8
A1 LM,NOLAN,2878.5,89.5,0.749,0.54,6.54,5.098,2,0.897,8
A1 LM,NOLAN,2879,85.813,0.767,1.25,6.905,5.008,2,0.879,6
A1 LM,NOLAN,2879.5,75.563,0.751,2.104,7.075,4.695,2,0.862,6
A1 LM,NOLAN,2880,60.156,0.724,2.47,8.125,4.359,2,0.845,5
A1 LM,NOLAN,2880.5,55.938,0.703,2.639,9.324,3.91,2,0.828,5
A1 LM,NOLAN,2881,55.063,0.685,2.932,10.984,3.461,2,0.81,6
A1 LM,NOLAN,2881.5,58.844,0.658,4.265,11.75,3.434,2,0.793,4
A1 LM,NOLAN,2882,55.906,0.622,4.477,11.734,3.473,2,0.776,4
A1 LM,NOLAN,2882.5,54.781,0.576,3.558,11.383,3.412,2,0.759,4
A1 LM,NOLAN,2883,56.375,0.53,2.147,10.89,3.527,2,0.741,4
A1 LM,NOLAN,2883.5,65.125,0.498,2.587,11.329,3.424,2,0.724,6
A1 LM,NOLAN,2884,67.813,0.487,5.048,12.872,3.441,2,0.707,6
A1 LM,NOLAN,2884.5,64.938,0.495,7.595,14.28,3.201,2,0.69,4
A1 LM,NOLAN,2885,58.5,0.511,9.249,16.044,3.19,2,0.672,7
A1 LM,NOLAN,2885.5,61.313,0.523,8.082,15.111,3.244,2,0.655,7
A1 LM,NOLAN,2886,80.563,0.529,6.129,13.842,3.67,2,0.638,7
A1 LM,NOLAN,2886.5,104.438,0.54,4.233,11.49,4.227,2,0.621,7
A1 LM,NOLAN,2887,116.5,0.566,2.686,11.084,4.742,2,0.603,8
A1 LM,NOLAN,2887.5,110.875,0.612,1.667,10.638,4.867,2,0.586,8
A1 LM,NOLAN,2888,109.313,0.664,0.755,10.866,4.891,2,0.569,8
A1 LM,NOLAN,2888.5,108.313,0.704,0.975,10.402,5.223,2,0.552,8
A1 LM,NOLAN,2889,111.688,0.727,1.09,10.628,5.059,2,0.534,6
A1 LM,NOLAN,2889.5,100.063,0.733,1.139,9.993,5.258,2,0.517,6
A1 LM,NOLAN,2890,100.063,0.733,1.139,9.993,5.258,2,0.517,6
A1 LM,NOLAN,2890.5,95,0.73,1.311,9.48,5.246,2,0.5,8
A1 LM,NOLAN,2891,80.563,0.72,1.565,8.933,5.488,2,0.483,8
A1 LM,NOLAN,2891.5,63.031,0.7,1.23,8.487,5.863,2,0.466,6
A1 LM,NOLAN,2892,43.813,0.667,0.702,8.527,5.715,2,0.448,6
A1 LM,NOLAN,2892.5,33.625,0.628,0.043,8.551,5.848,2,0.431,8
A1 LM,NOLAN,2893,29.656,0.591,0.472,9.098,5.187,2,0.414,8
A1 LM,NOLAN,2893.5,26.719,0.559,0.413,10.524,5.047,2,0.397,6
A1 LM,NOLAN,2894,22.641,0.531,1.692,11.687,4.75,2,0.379,6
A1 LM,NOLAN,2894.5,20.953,0.5,1.298,12.667,4.797,2,0.362,8
A1 LM,NOLAN,2895,22.562,0.47,0.924,12.748,4.852,2,0.345,8
A1 LM,NOLAN,2895.5,24.406,0.441,-0.136,12.49,4.914,2,0.328,8
A1 LM,NOLAN,2896,24.875,0.418,0.299,12.006,5.07,2,0.31,8
A1 LM,NOLAN,2896.5,25.078,0.407,0.616,11.64,4.996,2,0.293,8
A1 LM,NOLAN,2897,24.422,0.408,0.018,12.872,4.785,2,0.276,8
A1 LM,NOLAN,2897.5,27.781,0.415,-0.731,13.719,4.699,2,0.259,8
A1 LM,NOLAN,2898,29.734,0.429,-0.414,14.037,4.914,2,0.241,8
A1 LM,NOLAN,2898.5,39.656,0.446,0.486,12.649,4.953,2,0.224,8
A1 LM,NOLAN,2899,48.75,0.462,1.505,11.727,4.492,2,0.207,8
A1 LM,NOLAN,2899.5,52.406,0.486,1.367,11.133,3.815,2,0.19,8
A1 LM,NOLAN,2900,50.188,0.522,1.325,10.98,3.693,2,0.172,6
A1 LM,NOLAN,2900.5,54.906,0.567,1.359,10.213,3.58,2,0.155,5
A1 LM,NOLAN,2901,68.063,0.625,2.214,9.7,3.863,2,0.138,8
A1 LM,NOLAN,2901.5,79.813,0.702,3.406,9.289,3.871,2,0.121,6
A1 LM,NOLAN,2902,88.5,0.764,5.345,9.743,4.004,2,0.103,4
A1 LM,NOLAN,2902.5,85.188,0.799,5.84,10.127,3.775,2,0.086,4
A1 LM,NOLAN,2903,74.188,0.795,4.279,8.905,4.148,2,0.069,4
A1 LM,NOLAN,2903.5,74.188,0.795,4.279,8.905,4.148,2,0.069,4
A1 LM,NOLAN,2904,55.406,0.739,2.334,6.504,4.258,2,0.052,5
A1 LM,NOLAN,2904.5,47.875,0.676,0.446,4.388,4.797,2,0.034,6
A1 LM,NOLAN,2905,58.219,0.667,1.984,5.926,4.113,2,0.017,8
A1 LM,NOLAN,2905.5,79.25,0.671,1.088,17.369,3.49,1,1,8
B1 SH,NOLAN,2906,93.125,0.664,0,27.246,3.057,1,0.971,3
B1 SH,NOLAN,2906.5,94.25,0.649,1.395,27.267,2.682,1,0.941,3
B1 SH,NOLAN,2907,84.875,0.612,0.808,20.627,3.076,1,0.912,3
B1 SH,NOLAN,2907.5,77.125,0.568,2.991,14.587,3.299,1,0.882,3
B1 SH,NOLAN,2908,70.563,0.568,4.263,13.462,3.611,1,0.853,3
B1 SH,NOLAN,2908.5,61.813,0.581,5.689,12.719,3.256,1,0.824,3
B1 SH,NOLAN,2909,62.188,0.581,5.641,12.67,3.354,1,0.794,2
B1 SH,NOLAN,2909.5,62.563,0.569,5.791,11.446,3.25,1,0.765,2
B1 SH,NOLAN,2910,74.5,0.555,5.529,11.073,3.342,1,0.735,2
B1 SH,NOLAN,2910.5,84.625,0.533,5.446,13.499,3.15,1,0.706,2
B1 SH,NOLAN,2911,94.25,0.525,4.813,17.55,3.029,1,0.676,3
B1 SH,NOLAN,2911.5,101,0.531,6.429,21.452,2.844,1,0.647,3
B1 SH,NOLAN,2912,97.75,0.54,5.759,23.636,2.75,1,0.618,3
B1 SH,NOLAN,2912.5,90.063,0.551,5.239,21.519,2.699,1,0.588,3
B1 SH,NOLAN,2913,79.625,0.573,3.499,17.839,2.885,1,0.559,2
B1 SH,NOLAN,2913.5,73.813,0.601,4.323,12.376,3.262,1,0.529,2
B1 SH,NOLAN,2914,77.438,0.636,4.629,9.483,3.418,1,0.5,2
B1 SH,NOLAN,2914.5,72.625,0.681,3.464,7.522,3.373,1,0.471,2
B1 SH,NOLAN,2915,69.813,0.716,2.422,7.393,3.232,1,0.441,2
B1 SH,NOLAN,2915.5,65.438,0.728,1.631,7.403,3.231,1,0.412,2
B1 SH,NOLAN,2916,65.875,0.719,1.158,7.386,3.356,1,0.382,2
B1 SH,NOLAN,2916.5,67.25,0.693,0.916,7.483,3.398,1,0.353,2
B1 SH,NOLAN,2917,67.875,0.662,0.58,8.404,3.348,1,0.324,2
B1 SH,NOLAN,2917.5,75,0.623,0.896,8.381,3.348,1,0.294,2
B1 SH,NOLAN,2918,80.938,0.578,1.247,9.3,3.457,1,0.265,2
B1 SH,NOLAN,2918.5,86.75,0.55,2.513,11.256,3.223,1,0.235,2
B1 SH,NOLAN,2919,92.125,0.528,1.859,15.28,2.879,1,0.206,2
B1 SH,NOLAN,2919.5,95,0.504,2.565,16.331,2.732,1,0.176,2
B1 SH,NOLAN,2920,98.625,0.498,2.98,17.43,3.008,1,0.147,2
B1 SH,NOLAN,2920.5,97.5,0.518,6.042,19.691,3.213,1,0.118,2
B1 SH,NOLAN,2921,92.813,0.528,5.913,24.702,2.959,1,0.088,3
B1 SH,NOLAN,2921.5,72.375,0.551,5.425,24.214,2.805,1,0.059,3
B1 LM,NOLAN,2922,48.281,0.596,3.01,19.402,2.906,1,0.029,8
B1 LM,NOLAN,2922.5,27.25,0.631,2.861,13.545,3.561,2,1,8
B1 LM,NOLAN,2923,19.875,0.675,2.844,9.412,3.807,2,0.95,8
B1 LM,NOLAN,2923.5,16.906,0.766,2.21,7.409,3.805,2,0.9,8
B1 LM,NOLAN,2924,18.391,0.845,1.437,6.18,4.094,2,0.85,8
B1 LM,NOLAN,2924.5,21.719,0.905,1.495,5.097,4.418,2,0.8,6
B1 LM,NOLAN,2925,25.75,0.961,1.218,4.592,4.758,2,0.75,6
